Id,label
0,pos
1,pos
2,pos
3,pos
4,neg
5,pos
6,neg
7,pos
8,pos
9,pos
10,neg
11,pos
12,neg
13,pos
14,pos
15,neg
16,pos
17,neg
18,neg
19,neg
20,pos
21,neg
22,neg
23,neg
24,pos
25,pos
26,neg
27,pos
28,pos
29,neg
30,neg
31,pos
32,pos
33,pos
34,pos
35,pos
36,pos
37,pos
38,pos
39,neg
40,pos
41,neg
42,pos
43,pos
44,pos
45,pos
46,neg
47,neg
48,neg
49,neg
50,pos
51,pos
52,neg
53,pos
54,neg
55,pos
56,neg
57,neg
58,pos
59,neg
60,pos
61,pos
62,pos
63,neg
64,pos
65,pos
66,pos
67,pos
68,neg
69,neg
70,pos
71,neg
72,pos
73,neg
74,neg
75,neg
76,neg
77,neg
78,neg
79,neg
80,neg
81,pos
82,neg
83,neg
84,neg
85,neg
86,pos
87,pos
88,pos
89,neg
90,pos
91,neg
92,pos
93,pos
94,neg
95,pos
96,neg
97,neg
98,pos
99,pos
100,neg
101,pos
102,neg
103,neg
104,pos
105,neg
106,neg
107,neg
108,pos
109,neg
110,neg
111,pos
112,pos
113,neg
114,pos
115,pos
116,pos
117,pos
118,pos
119,pos
120,neg
121,pos
122,neg
123,neg
124,pos
125,neg
126,pos
127,pos
128,pos
129,pos
130,pos
131,neg
132,pos
133,pos
134,pos
135,pos
136,neg
137,neg
138,pos
139,pos
140,neg
141,neg
142,pos
143,pos
144,pos
145,neg
146,neg
147,pos
148,neg
149,pos
150,pos
151,neg
152,neg
153,pos
154,neg
155,pos
156,pos
157,pos
158,pos
159,neg
160,pos
161,pos
162,pos
163,neg
164,pos
165,pos
166,pos
167,pos
168,neg
169,neg
170,pos
171,pos
172,neg
173,neg
174,pos
175,pos
176,neg
177,pos
178,neg
179,pos
180,pos
181,pos
182,neg
183,pos
184,neg
185,pos
186,neg
187,neg
188,neg
189,pos
190,neg
191,neg
192,pos
193,pos
194,neg
195,pos
196,pos
197,pos
198,neg
199,neg
200,pos
201,pos
202,pos
203,pos
204,pos
205,pos
206,neg
207,pos
208,neg
209,neg
210,pos
211,neg
212,pos
213,neg
214,neg
215,pos
216,neg
217,pos
218,pos
219,neg
220,neg
221,neg
222,pos
223,neg
224,pos
225,neg
226,pos
227,pos
228,neg
229,neg
230,neg
231,pos
232,pos
233,neg
234,neg
235,pos
236,neg
237,neg
238,neg
239,pos
240,neg
241,neg
242,pos
243,pos
244,neg
245,neg
246,pos
247,neg
248,neg
249,neg
250,pos
251,pos
252,pos
253,pos
254,neg
255,neg
256,pos
257,pos
258,neg
259,neg
260,pos
261,pos
262,neg
263,pos
264,pos
265,neg
266,neg
267,pos
268,neg
269,neg
270,neg
271,neg
272,pos
273,pos
274,pos
275,neg
276,pos
277,neg
